Name,BirthDate,DeathDate,DebutDate,LastFilmDate,Movies,Date of Death 2
Megha Akash,10/26/1995,alive,,,"Tapasya, Uttaran, Adhuri Kahaani Hamari","Megha Akash,alive"
Meghana Gaonkar,5/8/1986,alive,,,"Kirik Party, Geetha Govindam, Dear Comrade","Meghana Gaonkar,alive"
Meghna Naidu,9/19/1980,alive,,,"Ek Duuje Ke Liye, Coolie, Tawaif","Meghna Naidu,alive"
Meghana Raj,5/3/1990,alive,,,"Golmaal franchise, Jaane Tu... Ya Jaane Na","Meghana Raj,alive"
Merle Oberon,2/19/1911,11/23/1979,,,"Mohra, Andaz Apna Apna, Dulhe Raja","Merle Oberon, 23 November 1979"
Minissha Lamba,1/18/1985,alive,,,"Singham, Rakht Charitra","Minissha Lamba,alive"
Mini Mathur,8/21/1975,alive,,,"Mukkabaaz, Raavan","Mini Mathur,alive"
Mita Vashisht,11/2/1967,alive,,,"Jodhaa Akbar, Ram Lakhan","Mita Vashisht,alive"
Mishti,12/20/1987,alive,,,"Baadshah, Hera Pheri","Mishti,alive"
Mithila Palkar,1/11/1993,alive,,,"Maine Pyar Kiya, Hum Aapke Hain Koun!, Vaastav","Mithila Palkar,alive"
Mona Singh,10/8/1981,alive,,,"Chitram, Jayam, Ananthabhadram","Mona Singh,alive"
Monali Thakur,11/3/1985,alive,,,"Apnapan, Jaise Ko Taisa, Vishwanath","Monali Thakur,alive"
Monica Bedi,1/18/1975,alive,,,"Shiva Manasulo Shruti, Routine Love Story, Soukhyam","Monica Bedi,alive"
Moon Moon Sen,3/28/1954,alive,,,"Umrao Jaan, Khoobsurat, Silsila","Moon Moon Sen,alive"
Mouni Roy,9/28/1985,alive,,,"Aadi Lakshmi Puraana, Namitha I Love You","Mouni Roy,alive"
Mrinal Dev-Kulkarni,6/21/1971,alive,,,"Hum Aapke Hain Koun!, Dil Ne Jise Apna Kahaa","Mrinal Dev-Kulkarni,alive"
Mrunal Thakur,8/1/1992,alive,,,"Kirik Party, Smile Please, Gantumoote","Mrunal Thakur,alive"
Mrunmayee Deshpande,5/29/1988,alive,,,"Thevar Magan, Mouna Raagam, Anjali","Mrunmayee Deshpande,alive"
Mumaith Khan,9/1/1985,alive,,,"Gangs of Wasseypur, Fukrey, Section 375","Mumaith Khan,alive"
Mumtaz Shanti,5/28/1926,10/19/1994,,,"Mirchi, Mayakkam Enna, Osthe","Mumtaz Shanti, 19 October 1994"
Mumtaz Sorcar,9/15/1986,alive,,,"Maryada: Lekin Kab Tak?, Savitri, Woh Apna Sa","Mumtaz Sorcar,alive"
Mugdha Godse,7/26/1986,alive,,,"Dhoom, Garam Masala, Baghban","Mugdha Godse,alive"
Munmun Dutta,9/28/1987,alive,,,"Jis Desh Mein Ganga Rehta Hai, Pyaar Mein Kabhi Kabhi, Chameli","Munmun Dutta,alive"
Muskaan Mihani,6/26/1982,alive,,,"Sairat, Kaagar, Makeup","Muskaan Mihani,alive"
Mynavathi,7/26/1935,11/10/2012,,,"Bobby, Amar Akbar Anthony","Mynavathi, 10 November 2012"
Nabha Natesh,12/11/1995,alive,,,"Kabhi Haan Kabhi Naa, Raja Hindustani, Hero No. 1","Nabha Natesh,alive"
Nagma,12/25/1974,alive,,,"Housefull, Dhamaal","Nagma,alive"
Nalini Jaywant,2/18/1926,12/22/2010,,,"Dahan, Shwet Patharer Thala, Aalo","Nalini Jaywant, 22 December 2010"
Namrata Shirodkar,1/22/1972,alive,,,"Style, Jhankaar Beats, Apna Sapna Money Money","Namrata Shirodkar,alive"
Namitha,5/10/1981,alive,,,Baazaar (2018),"Namitha,alive"
Namitha Pramod,9/19/1996,alive,,,"Gandhi (1982), Agneepath (1990), Slumdog Millionaire (2008)","Namitha Pramod,alive"
Nandita Swetha,4/30/1990,alive,,,"Kaabil (2017), Shootout at Lokhandwala (2007)","Nandita Swetha,alive"
Nargis Fakhri,10/20/1979,alive,,,"The Sky Is Pink (2019), Ludo (2020)","Nargis Fakhri,alive"
Navaneet Kaur,1/3/1986,alive,,,"Lagaan (2001), Welcome Back (2015)","Navaneet Kaur,alive"
Navneet Kaur Dhillon,9/23/1992,alive,,,"Udaan (2010), Kaabil (2017)","Navneet Kaur Dhillon,alive"
Nayanthara,11/18/1984,alive,,,"Padma Nadir Majhi (1999), Antarmahal (2005)","Nayanthara,alive"
Nazriya Nazim,12/20/1994,alive,,,Chandra (2013),"Nazriya Nazim,alive"
Neelima Azeem,12/2/1958,alive,,,"Seeta Aur Geeta (1972), Don (1978)","Neelima Azeem,alive"
Neha Dhupia,8/27/1980,alive,,,"Yaara Ve (2019), DSP Dev (2019)","Neha Dhupia,alive"
Neha Hinge,4/30/1986,alive,,,Dil Kabaddi (2008),"Neha Hinge,alive"
Neha Mahajan,8/18/1990,alive,,,Hindi Medium (2017),"Neha Mahajan,alive"
Neeru Bajwa,8/26/1980,alive,,,"Durga (1985), Kuheli (1971)","Neeru Bajwa,alive"
Nia Sharma,9/17/1990,alive,,,"Astitva (2000), Sarkar (2005)","Nia Sharma,alive"
Nidhi Subbaiah,2/16/1985,alive,,,"Navri Mile Navryala (1984), Ashi Hi Banwa Banwi (1988)","Nidhi Subbaiah,alive"
Niharika Konidela,12/18/1993,alive,,,"Mera Saaya (1966), Woh Kaun Thi? (1964)","Niharika Konidela,alive"
Niharica Raizada,4/18/1990,alive,,,"My Beautiful Laundrette (1985), Gandhi (1982)","Niharica Raizada,alive"
Nikita Dutta,11/13/1993,alive,,,Chak De! India (2007),"Nikita Dutta,alive"
Nikki Galrani,1/3/1992,alive,,,Kis Kisko Pyaar Karoon (2015),"Nikki Galrani,alive"
Nimmi,2/18/1933,3/25/2020,,,"Premam (2015), Fidaa (2017)","Nimmi, 25 March 2020"
Nirupa Roy,1/4/1931,10/13/2004,,,"Dil Chahta Hai (2001), Omkara (2006)","Nirupa Roy, 13 October 2004"
Nithya Menen,4/8/1988,alive,,,"Padosan (1968), Victoria No. 203 (1972)","Nithya Menen,alive"
Nivedita Jain,6/9/1979,6/10/1998,,,"Mirzya (2016), Choked (2020)","Nivedita Jain, 10 June 1998"
Nivedita Joshi Saraf,1/10/1965,alive,,,"Mom (2017), Zindagi Kitni Haseen Hay (2016)","Nivedita Joshi Saraf,alive"
Nivetha Thomas,11/2/1995,alive,,,"Gandhi (1982), My Beautiful Laundrette (1985)","Nivetha Thomas,alive"
Nivetha Pethuraj,11/30/1991,alive,,,"Sholay (1975), Deewaar (1975)","Nivetha Pethuraj,alive"
Noor Jehan,9/23/1926,12/23/2000,,,"Nikaah (1982), Kasam Paida Karne Wale Ki (1984)","Noor Jehan, 23 December 2000"
Nutan,6/4/1936,2/21/1991,,,"Maine Pyar Kiya (1989), Dabangg (2010)","Nutan, 21 February 1991"
Nimrat Kaur,3/13/1982,alive,,,"Wanted (2009), ABCD: Any Body Can Dance (2013)","Nimrat Kaur,alive"
Nushrat Bharucha,5/17/1985,alive,,,"Ye Maaya Chesave (2010), Rangasthalam (2018)","Nushrat Bharucha,alive"
Oviya Helen,4/29/1991,alive,,,"Taxi Number 9211 (2006), Race (2008)","Oviya Helen,alive"
Padma Lakshmi,9/1/1970,alive,,,Manikya Malaraya Poovi (2018),"Padma Lakshmi,alive"
Padmini Kolhapure,11/1/1965,alive,,,"Diamond Necklace (2012), Cocktail (2010)","Padmini Kolhapure,alive"
Pallavi Joshi,4/4/1969,alive,,,"Kirik Party (2016), Comali (2019)","Pallavi Joshi,alive"
Pallavi Kulkarni,6/15/1982,alive,,,"Vishwasghaat (1996), Bhoot Aaya (2014)","Pallavi Kulkarni,alive"
Pallavi Sharda,3/5/1990,alive,,,"Jai Ho (2014), Wajah Tum Ho (2016)","Pallavi Sharda,alive"
Pandari Bai,4/13/1905,1/29/2003,,,"Jagga Jasoos (2017), Ezhumin (2018)","Pandari Bai, 29 January 2003"
Pankhuri Awasthy,3/31/1991,alive,,,"Kuch Kuch Hota Hai, Student of the Year","Pankhuri Awasthy,alive"
Parineeti Chopra,10/22/1988,alive,,,"Fanaa (2006), Iss Pyaar Ko Kya Naam Doon? (2011)","Parineeti Chopra,alive"
Parminder Nagra,10/5/1975,alive,,,"Aarambame Attagasam, Sakkathagavle Savaal","Parminder Nagra,alive"
Parvathy Jayaram,4/7/1970,alive,,,"Tum Bin, Pinjar","Parvathy Jayaram,alive"
Parvathy Nair,12/5/1992,alive,,,"Page 3 (2005), Angry Indian Goddesses (2015)","Parvathy Nair,alive"
Parvathy Omanakuttan,3/13/1987,alive,,,"Sanyasi Raja (1975), Gali Thekey Rajpat (1959)","Parvathy Omanakuttan,alive"
Parvati Melton,1/7/1988,alive,,,"Tridev, Jurm","Parvati Melton,alive"
Parvathy Thiruvothu,4/7/1988,alive,,,"Munna Bhai M.B.B.S. (2003), Khalnayak (1993)","Parvathy Thiruvothu,alive"
Parveen Babi,4/4/1954,1/20/2005,,,"Raja (1995), Luck by Chance (2009)","Parveen Babi, 20 January 2005"
Patience Cooper,1/30/1902,6/15/1905,,,"Mela (1971), Abdullah (1980)","Patience Cooper, 1993"
Patralekha,2/20/1990,alive,,,"Jhankaar Beats (2003), My Brother...Nikhil (2005)","Patralekha,alive"
Payal Rohatgi,11/9/1984,alive,,,"Baghban (2003), Ishq Nachaunda (2021)","Payal Rohatgi,alive"
Payel Sarkar,2/10/1984,alive,,,"Sholay (1975), Angoor (1982)","Payel Sarkar,alive"
Pooja Bedi,5/11/1970,alive,,,"Ludo (2020), Airlift (2016)","Pooja Bedi,alive"
Pooja Bhatt,2/24/1972,alive,,,"Dangal (2016), Photograph (2019)","Pooja Bhatt,alive"
Pooja Gandhi,10/7/1983,alive,,,"Kedarnath, Simmba","Pooja Gandhi,alive"
Pooja Gor,6/1/1991,alive,,,"Murder 3, Ishq Click","Pooja Gor,alive"
Pooja Hegde,10/13/1990,alive,,,"Nayagan (1987), Annamalai (1992)","Pooja Hegde,alive"
Pooja Sawant,1/25/1990,alive,,,"Kappal Muthalaali, Ivan Maryadaraman","Pooja Sawant,alive"
Poonam Pandey,3/11/1991,alive,,,"Thiruvilayadal, Padikkatha Methai","Poonam Pandey,alive"
Poornima Bhagyaraj,7/27/1960,alive,,,"Ram Teri Ganga Maili (1985), Dil Apna Preet Parai (1960)","Poornima Bhagyaraj,alive"
Prayaga Martin,5/18/1995,alive,,,"Mr. India (1987), Tere Naam (2003)","Prayaga Martin,alive"
Prachi Desai,9/12/1988,alive,,,"Jaane Bhi Do Yaaro (1983), Dilwale Dulhania Le Jayenge (1995)","Prachi Desai,alive"
Pranutan Bahl,3/10/1993,alive,,,"Jab We Met, Entertainment","Pranutan Bahl,alive"
Prarthana Behere,1/5/1983,alive,,,"Satya (1998), Jolly LLB (2013)","Prarthana Behere,alive"
Preity Zinta,1/31/1975,alive,,,"Lagaan (2001), Hera Pheri (2000)","Preity Zinta,alive"
Prema Narayan,4/4/1955,alive,,,"Article 15, Jolly LLB 2","Prema Narayan,alive"
Priti Sapru,12/24/1962,alive,,,"Shivaay, Kaappaan","Priti Sapru,alive"
Priya Anand,9/17/1986,alive,,,"Bandit Queen, Water","Priya Anand,alive"
Priya Bapat,9/18/1986,alive,,,"Bareilly Ki Barfi, Shubh Mangal Zyada Saavdhan","Priya Bapat,alive"
Priya Raman,6/18/1974,alive,,,"Killa, Court","Priya Raman,alive"
Priya Bhavani Shankar,12/31/1989,alive,,,"Arth, Masoom","Priya Bhavani Shankar,alive"
Priyamani,6/4/1984,alive,,,"Rangeela (1995), Woh Lamhe (2006)","Priyamani,alive"
Priyanka Chopra Jonas,7/18/1982,alive,,,"Satte Pe Satta (1982), Hum Aapke Hain Koun..! (1994)","Priyanka Chopra Jonas,alive"
Priyanka Arul Mohan,11/20/1994,alive,,,"Dilwale Dulhania Le Jayenge (1995), Swades (2004)","Priyanka Arul Mohan,alive"
Puja Banerjee,2/6/1987,alive,,,"Mahabharat, Kuch Rang Pyar Ke Aise Bhi","Puja Banerjee,alive"
Purbi Joshi,8/19/1974,alive,,,"Jab We Met (2007), Haider (2014)","Purbi Joshi,alive"
Radhika Apte,9/7/1985,alive,,,"Andaz Apna Apna, Judwaa","Radhika Apte,alive"
Radhika Madan,5/1/1995,alive,,,"Arjun Reddy, Jayeshbhai Jordaar","Radhika Madan,alive"
Raadhika Sarathkumar,8/21/1963,alive,,,"Mohabbatein, Zeher","Raadhika Sarathkumar,alive"
Rachana Narayanankutty,4/4/1983,alive,,,"Teesri Manzil, Junglee","Rachana Narayanankutty,alive"
Rachna Banerjee,10/2/1974,alive,,,"Accident, Ondanondu Kaladalli","Rachna Banerjee,alive"
Radhika Kumaraswamy,11/11/1986,alive,,,"Josh, Lakshya","Radhika Kumaraswamy,alive"
Ragini Dwivedi,5/24/1990,alive,,,"Mr. India, Ghayal","Ragini Dwivedi,alive"
Ragini Khanna,12/9/1987,alive,,,"3 Idiots, Golmaal: Fun Unlimited","Ragini Khanna,alive"
Raima Sen,11/7/1979,alive,,,"Sajni, Swayamvara","Raima Sen,alive"
Rajisha Vijayan,7/15/1991,alive,,,"Aradhana, Amar Prem","Rajisha Vijayan,alive"
Rajshree,10/8/1944,alive,,,"An Evening in Paris, Sawan Ki Ghata","Rajshree,alive"
Rakhi Sawant,11/25/1978,alive,,,"Deewar, Namak Halaal","Rakhi Sawant,alive"
Rakul Preet Singh,10/10/1990,alive,,,"Ayee Milan Ki Bela, Gumrah","Rakul Preet Singh,alive"
Raashi Khanna,11/30/1990,alive,,,"Kalicharan, Naseeb","Raashi Khanna,alive"
Ranjeeta Kaur,9/22/1956,alive,,,"Parthal Pasi Theerum, Kalyana Parisu","Ranjeeta Kaur,alive"
Ranjitha,6/4/1975,alive,,,"Teree Sang, Delhi Heights","Ranjitha,alive"
Rani Mukerji,3/21/1978,alive,,,"Ratan, Love in Bombay","Rani Mukerji,alive"
Ramya Krishnan,9/15/1967,alive,,,"Ishq Vishk, Delhi Belly","Ramya Krishnan,alive"
Rashi Khanna,11/30/1990,alive,,,"Student Number 1, Whistle","Rashi Khanna,alive"
Rashmi Desai,2/13/1986,alive,,,"Roy, Shaandaar","Rashmi Desai,alive"
Rashmika Mandanna,4/5/1996,alive,,,"Iqraar by Chance, Bloody Isshq","Rashmika Mandanna,alive"
Rati Agnihotri,12/10/1960,alive,,,"Dhadkan, Baazigar","Rati Agnihotri,alive"
Ratna Pathak Shah,3/18/1957,alive,,,"Hum, Kishen Kanhaiya","Ratna Pathak Shah,alive"
Raveena Tandon,10/26/1972,alive,,,"Chak De! India, B.A. Pass","Raveena Tandon,alive"
Reena Roy,1/7/1957,alive,,,"Hazaaron Khwaishein Aisi, Gangster","Reena Roy,alive"
Reema Lagoo,6/21/1958,5/18/2017,,,"Rocket Singh: Salesman of the Year, Mardaani 2","Reema Lagoo, 18 May 2017"
Reema Sen,10/29/1981,alive,,,"Vaastav, All The Best","Reema Sen,alive"
Regina Cassandra,12/13/1990,alive,,,Khuda Haafiz (2020),"Regina Cassandra,alive"
Rekha,10/10/1954,alive,,,"Begum Jaan, Khuda Haafiz","Rekha,alive"
Rekha Vedavyas,4/20/1985,alive,,,"Titli, Raat Akeli Hai","Rekha Vedavyas,alive"
Renukamma Murugodu,4/15/1905,,,,"Manichitrathazhu, Innale","Renukamma Murugodu,"
Renuka Shahane,10/7/1966,alive,,,"Sangdil, Hum Bhi Kuchh Kum Nahin","Renuka Shahane,alive"
Revathi,7/8/1966,alive,,,"Paathshaala, Nishabd","Revathi,alive"
Richa Chaddha,12/18/1986,alive,,,"Siddu From Sikakulam, Arya 2","Richa Chaddha,alive"
Richa Gangopadhyay,3/20/1986,alive,,,"Aashiqui 2, Stree","Richa Gangopadhyay,alive"
Ridhi Dogra,9/22/1984,alive,,,"U-Turn, Vikram Vedha","Ridhi Dogra,alive"
Rimi Sen,9/21/1981,alive,,,"The Family Man, Scam 1992","Rimi Sen,alive"
Rinke Khanna,7/27/1977,alive,,,"Iqbal, Golmaal Returns","Rinke Khanna,alive"
Rinku Rajguru,6/3/2001,alive,,,"Gandhi, Gharaonda","Rinku Rajguru,alive"
Rita Bhaduri,11/4/1955,7/17/2018,,,"Sivaji, Chatrapathi","Rita Bhaduri, 17 July 2018"
Rituparna Sengupta,11/7/1970,alive,,,"Gabbar Singh, 3","Rituparna Sengupta,alive"
Riya Sen,1/24/1981,alive,,,"Yehh Jadu Hai Jinn Ka!, Namah","Riya Sen,alive"
Rohini Hattangadi,4/11/1955,alive,,,"Happy Go Lucky, Diljit Dosanjh","Rohini Hattangadi,alive"
Roopa Ganguly,11/25/1963,alive,,,"Kasautii Zindagii Kay, Parvarrish - Kuchh Khattee Kuchh Meethi","Roopa Ganguly,alive"
Roopa Iyer,7/24/1982,alive,,,"Masaan, Haraamkhor","Roopa Iyer,alive"
R.T. Rama,6/25/1949,alive,,,"Gully Boy, Phone Bhoot","R.T. Rama,alive"
Ruby Parihar,4/16/2010,alive,,,"Raaz, Jannat","Ruby Parihar,alive"
Sabitri Chatterjee,2/22/1937,alive,,,"Tashan-e-Ishq, Badho Bahu","Sabitri Chatterjee,alive"
Saba Qamar,4/5/1984,alive,,,"Student of the Year, Kapoor & Sons","Saba Qamar,alive"
Saba Azad,11/1/1985,alive,,,"Humpty Sharma Ki Dulhania, Balika Vadhu","Saba Azad,alive"
Shivaleeka Oberoi,7/24/1995,alive,,,"Woodstock Villa, The Zoya Factor","Shivaleeka Oberoi,alive"
Sobhita Dhulipala,5/31/1992,alive,,,"Layanam, Moondram Pirai","Sobhita Dhulipala,alive"
Sadhana Shivdasani,9/2/1941,12/25/2015,,,"Mera Naam Joker, Karz","Sadhana Shivdasani, 25 December 2015"
Sagarika Ghatge,1/8/1986,alive,,,"Kal Ho Naa Ho, Laado 2 - Veerpur Ki Mardani","Sagarika Ghatge,alive"
Sajal Aly,1/17/1994,alive,,,"Pati Patni Aur Tawaif, Humraaz","Sajal Aly,alive"
Sana Makbul,6/13/1993,alive,,,"Vaali, Jodi","Sana Makbul,alive"
Sai Lokur,9/5/1989,alive,,,"Athadu, Brindavanam","Sai Lokur,alive"
Saiyami Kher,6/29/1992,alive,,,"Bazaar, Arth","Saiyami Kher,alive"
Samskruthy Shenoy,11/20/1998,alive,,,"Lucky: No Time for Love, Ullasamga Utsahamga","Samskruthy Shenoy,alive"
Samyuktha Hegde,7/17/1998,alive,,,"Raman Raghav 2.0 (2016), Made in Heaven (2019)","Samyuktha Hegde,alive"
Sandhya Mridul,3/28/1975,alive,,,"Rang De Basanti, Tum Mile","Sandhya Mridul,alive"
Sandhya Roy,4/11/1941,alive,,,"Maine Dil Tujhko Diya, Hello Brother","Sandhya Roy,alive"
Sanaya Irani,9/17/1983,alive,,,"Dabangg, Lootera","Sanaya Irani,alive"
Sanya Malhotra,2/25/1992,alive,,,"Jannat, 3G","Sanya Malhotra,alive"
Sanjeeda Sheikh,12/20/1984,alive,,,"Natrang, Poshter Girl","Sanjeeda Sheikh,alive"
Sai Pallavi,5/9/1992,alive,,,"Hum Saath-Saath Hain, Sarfarosh","Sai Pallavi,alive"
Saira Banu,8/23/1944,alive,,,"Dil Chahta Hai, Taxi No. 9211","Saira Banu,alive"
Salma Agha,10/29/1954,alive,,,"The Xpose, Great Grand Masti","Salma Agha,alive"
Samantha Ruth Prabhu,4/28/1987,alive,,,"Taarak Mehta Ka Ooltah Chashmah, Dil Dosti Duniyadari","Samantha Ruth Prabhu,alive"
Sameera Reddy,12/14/1978,alive,,,"Punjab 1984, Super Singh","Sameera Reddy,alive"
Samvrutha Sunil,10/31/1986,alive,,,"Raanjhanaa, Neerja","Samvrutha Sunil,alive"
Sana Amin Sheikh,8/10/1989,alive,,,"Devon Ke Dev...Mahadev, Saansein","Sana Amin Sheikh,alive"
Sana Khan,8/21/1988,alive,,,"Pyaar Ka Punchnama, High Jack","Sana Khan,alive"
Sana Saeed,9/22/1988,alive,,,"Dabangg, Simmba","Sana Saeed,alive"
Sanchita Padukone,3/16/1988,alive,,,"Hero, Satellite Shankar","Sanchita Padukone,alive"
Sangeeta Bijlani,7/9/1960,alive,,,"Shaadi No. 1, Pyaar Ke Side Effects","Sangeeta Bijlani,alive"
Sandali Sinha,1/11/1972,alive,,,"Ammoru, Anthapuram","Sandali Sinha,alive"
Sara Ali Khan,8/12/1995,alive,,,"Enga Veettu Pillai, Kalyana Parisu","Sara Ali Khan,alive"
Sara Loren,12/11/1987,alive,,,"Vicky Velingkar, Baba","Sara Loren,alive"
Sarayu (actress),7/10/1989,alive,,,"Varuthapadatha Valibar Sangam, Kaatu","Sarayu (actress),alive"
Saroja Devi,1/7/1938,alive,,,"""KGF: Chapter 1"", ""KGF: Chapter 2""","Saroja Devi,alive"
Saumya Tandon,11/3/1984,alive,,,"Kumkum Bhagya, Dil Se Di Dua... Saubhagyavati Bhava?","Saumya Tandon,alive"
Sayani Gupta,10/9/1985,alive,,,"""Chenda"", ""Dhruvam"", ""Iyer the Great"", ""His Highness Abdullah""","Sayani Gupta,alive"
Sayyeshaa Saigal,8/12/1997,alive,,,"""Kavaludaari"", ""Sankashta Kara Ganapathi""","Sayyeshaa Saigal,alive"
Seema Biswas,1/14/1965,alive,,,"""Balidaan"", ""Chinna Kannamma""","Seema Biswas,alive"
Seema Pahwa,2/10/1962,alive,,,"Paan Singh Tomar, Manto","Seema Pahwa,alive"
Seema Shinde,6/10/1905,alive,,,"""Dil Chahta Hai"", ""Laal Rang"", ""Pari""","Seema Shinde,alive"
Shabana Azmi,9/18/1950,alive,,,"""Devdas"", ""Agnipariksha"", ""Mamta""","Shabana Azmi,alive"
Sharmila Mandre,10/28/1990,alive,,,"Eega, Hebbuli","Sharmila Mandre,alive"
Sharmilee,12/31/1971,alive,,,"Border, LOC: Kargil","Sharmilee,alive"
Shibani Dandekar,8/27/1980,alive,,,"""Mayuri"", ""Naache Mayuri"", ""Judaai""","Shibani Dandekar,alive"
Shalini Pandey,9/23/1993,alive,,,"Singh Is Kinng, Baby","Shalini Pandey,alive"
Shamita Shetty,2/2/1979,alive,,,"Gandhi, Devdas","Shamita Shetty,alive"
Sharmila Tagore,12/8/1944,alive,,,"Chak De! India, Golmaal 3","Sharmila Tagore,alive"
Shashikala,8/4/1932,4/4/2021,,,"""Sindhu Bhairavi"", ""Nenjathai Killathe"", ""Manichitrathazhu""","Shashikala, 4 April 2021"
Sheela,3/22/1945,alive,,,"Sholay, Deewar","Sheela,alive"
Sheena Shahabadi,11/21/1986,alive,,,"""Oru CBI Diary Kurippu"", ""Kizhakku Vasal""","Sheena Shahabadi,alive"
Shenaz Treasurywala,6/29/1981,alive,,,"""Bhakta Vidur"", ""Maya Bazaar"", ""Jhansi Ki Rani""","Shenaz Treasurywala,alive"
Sherin,5/5/1985,alive,,,"""New Delhi"", ""Indrajith"", ""Bandhana""","Sherin,alive"
Shilpa Shetty,6/8/1975,alive,,,"""New Delhi"", ""Indrajith"", ""Bandhana""","Shilpa Shetty,alive"
Shilpa Shukla,2/22/1982,alive,,,"Sarabhai vs Sarabhai, Lage Raho Munna Bhai","Shilpa Shukla,alive"
Shilpa Shirodkar,11/20/1973,alive,,,"Permanent Roommates, Veere Di Wedding","Shilpa Shirodkar,alive"
Shilpa Anand,12/10/1982,alive,,,"Mohra, Hera Pheri","Shilpa Anand,alive"
Shivani Raghuvanshi,6/19/1991,alive,,,"Mother India, Mera Saaya","Shivani Raghuvanshi,alive"
Shivangi Joshi,5/18/1998,alive,,,"Gabbar is Back, Bharat","Shivangi Joshi,alive"
Shreya Dhanwanthary,8/29/1988,alive,,,Ramayan,"Shreya Dhanwanthary,alive"
Shweta Tiwari,10/4/1980,alive,,,"Comedy Nights with Kapil, The Great Indian Laughter Challenge","Shweta Tiwari,alive"
Shweta Tripathi,7/6/1985,alive,,,"Ghayal, Gadar: Ek Prem Katha","Shweta Tripathi,alive"
Shobhana,3/21/1970,alive,,,"Gold, Bhangra Paa Le","Shobhana,alive"
Shobhna Samarth,11/17/1916,2/9/2000,,,"""Jism 2"", ""Ragini MMS 2"", ""Ek Paheli Leela""","Shobhna Samarth, 9 February 2000"
Shraddha Arya,8/17/1987,alive,,,"""Uttar Falguni"", ""Meghe Dhaka Tara"", ""Kuheli""","Shraddha Arya,alive"
Shraddha Das,3/4/1987,alive,,,"""Bazaar"", ""Ram Teri Ganga Maili"", ""Mirch Masala""","Shraddha Das,alive"
Shraddha Kapoor,3/3/1987,alive,,,"""Mirza Ghalib"", ""Dillagi"", ""Pyar Ki Jeet""","Shraddha Kapoor,alive"
Shraddha Srinath,9/29/1990,alive,,,"""Qubool Hai 2.0"", ""Sanjivani"", ""Ishqbaaaz""","Shraddha Srinath,alive"
Shruthi Haasan,1/28/1986,alive,,,"""Sonu Ke Titu Ki Sweety"", ""Munde Patiala De"", ""Ik Kudi Punjab Di""","Shruthi Haasan,alive"
Shruti Sodhi,9/22/1988,alive,,,"Border, Lagaan","Shruti Sodhi,alive"
Shruti Sharma,7/6/1981,alive,,,"Namak Halaal, Kabhi Kabhie","Shruti Sharma,alive"
Shriya Saran,9/11/1982,alive,,,"Singam, Ghajini, 24","Shriya Saran,alive"
Simi Garewal,10/17/1947,alive,,,"""Hate Story 2"", ""Parched"", ""Ugly""","Simi Garewal,alive"
Simone Singh,11/10/1974,alive,,,"Satya, The Legend of Bhagat Singh, Jungle","Simone Singh,alive"
Simple Kapadia,8/15/1958,11/10/2009,,,"Kai Po Che!, MS Dhoni: The Untold Story, Chhichhore","Simple Kapadia, 10 November 2009"
Simran Bagga,4/4/1976,alive,,,"""Biwi No.1"", ""Main Hoon Na"", ""Chingaari""","Simran Bagga,alive"
Sindhu Tolani,7/19/1983,alive,,,"Mumbai-Pune-Mumbai, Duniyadari, Golmaal","Sindhu Tolani,alive"
Silk Smitha,12/2/1960,9/23/1996,,,"""Tanu Weds Manu"", ""Nil Battey Sannata"", ""Veere Di Wedding""","Silk Smitha, 23 September 1996"
Smita Patil,10/17/1955,12/13/1986,,,"""Naram Garam"", ""Buddhi""","Smita Patil, 13 December 1986"
Sneha Ullal,12/18/1987,alive,,,"""Dil Bechara"", ""Mishawr Rawhoshyo"", ""Detective Byomkesh Bakshy!""","Sneha Ullal,alive"
Soha Ali Khan,10/4/1978,alive,,,"""Subrahmanyapuram"", ""Karthikeya"", ""Swamy Ra Ra""","Soha Ali Khan,alive"
Sonakshi Sinha,6/2/1987,alive,,,"Pink, Badla, Thappad, Naam Shabana","Sonakshi Sinha,alive"
Sonali Bendre,1/1/1975,alive,,,"Mardaani, Chhichhore, Force 2","Sonali Bendre,alive"
Sonali Kulkarni,11/3/1974,alive,,,"Baahubali: The Beginning, Baahubali 2: The Conclusion, Devi","Sonali Kulkarni,alive"
Sonali Raut,12/23/1990,alive,,,"""Haathi Mere Saathi"", ""Jewel Thief"", ""Anubhav""","Sonali Raut,alive"
Sonalee Kulkarni,5/18/1988,alive,,,"""Aashiq Banaya Aapne"", ""Bhagam Bhag"", ""Raqeeb""","Sonalee Kulkarni,alive"
Sonal Chauhan,5/16/1987,alive,,,"Chitram, Ammayilu Abbayilu","Sonal Chauhan,alive"
Sonam Bajwa,8/16/1989,alive,,,"Saathiya, Mumbai Salsa, Maattrraan","Sonam Bajwa,alive"
Sonam Kapoor,6/9/1985,alive,,,"Khosla Ka Ghosla, Page 3, Masti, Saaya","Sonam Kapoor,alive"
Sonalika Joshi,6/5/1976,alive,,,"Student of the Year 2, Marjaavaan, Tadap","Sonalika Joshi,alive"
Sonarika Bhadoria,12/3/1992,alive,,,"Rangeela, Prem Granth","Sonarika Bhadoria,alive"
Sonnalli Seygall,5/1/1989,alive,,,"Sujata, Jagriti, Usne Kaha Tha","Sonnalli Seygall,alive"
Sophia Chaudhary,2/8/1982,alive,,,Paa,"Sophia Chaudhary,alive"
